code1,code2,special,scene_id,scene_design,scene_rule_code,scene_rule,vase_design,vase_rule_code,vase_rule,slot_rule,beizhu,key,random_seeds,statistics
6,1,0,1,000000000/000000000/011200000/000000000/000000000,2,1:gat;2:tor,000000000/000000000/000000110/000000000/000000000,1,zom*1+con*1+pol*1+pap*1,,brk,51,456;111;888;729;789,
6,2,0,1,000040000/100000300/000020000/100000000/000040000,2,1:fum;2:gar;3:lan;4:glo,000000000/000000000/000001230/000000000/000000000,2,1@z:ftb*1;2@z:dor*1;3@z:dig*1,25$min,brk;plt;rmv;delay,52,31;41;59;26;53,18.6;18.7;0
6,3,0,1,000000000/000000000/000000000/000000000/000000000,0,,000000000/001111100/001111100/001111100/000000000,1,bkt*1+ept*14,150$che,zom.row,53,4;5;6;7;8,1.6;1.6;0
6,4,0,1,000000000/000000020/010110000/000000000/000000000,2,1:min;2:lan,000000000/000000000/000001222/000000000/000000000,2,1@z:ggt*1;2@q:pog*3,,Loop;card.plc,54,3;4;5;6;7,24.8;26.2;0
6,5,1,1,000000000/000000000/000000000/000000000/000000000,0,,000000000/000000000/000000000/000000000/000000000,0,,,Blind Faith,,,
6,6,0,1,000000000/000000000/000000000/000000000/000000000,0,,000000000/000000000/001000100/000000000/000000000,1,squ*1+ftb*1,,,56,1;2;3;4;5,2.4;2.4;0
6,7,0,1,000000000/000000000/000000000/000000000/000000000,0,,000000000/011102220/010102020/011102220/000000000,2,1@q:min*1+bkt*1+ept*6;2@q:con*1+rre*1+ept*6,25$lan,,57,1;2;3;4;5,33.6;34.2;0
6,8,0,1,110000000/110000200/110000000/110000200/110000000,2,1:thr*2+rep*2+gat*2+ept*3;2:jac,000001110/000001010/000001110/000001010/000001110,1,bkt*3+zom*3+rre*6+ept*1,125$jal,,58,5;4;3;2;1,26.3;30.7;125
6,9,0,1,000010000/230000000/230000000/230000000/000010000,2,1:lan;2:squ;3:rep,000000000/000512000/003333300/000412000/000000000,2,1@q:bkt*2;2@q:ggt*2;3@q:bkt*3+ept*3;4@q:min*1;5@q:squ*1,125$jal,,59,2;3;4;5;6,31.8;35.0;125
6,10,1,4,000000000/000000000/000000000/000000000/000000000,0,,000000000/000000000/000000000/000000000/000000000,0,,,,,,
6,11,0,1,022200000/022200100/022200000/022200100/022200000,2,1:lan;2:rep*5+sno*3+fum*3+thr*3+ker*3+lan*1,000001000/000001000/000001000/000001000/000001000,2,1@z:dor*2+bkt*2+ftb*1,300$lan+cab+sno,,,,
7,1,0,1,000000000/000000000/000000000/000000000/000000000,0,,111111111/111111111/111111111/111111111/111111111,2,1@e:ept*45,,,,,
7,2,0,1,000000000/000000000/000000000/000000000/000000000,0,,000000000/022210100/022201000/022210100/000000000,2,1@q:dan*1+pog*2+pol*2;2@p:fum*1+thr*1+puf*1+sca*1+spl*1+rep*1+sno*1+spi*1+pea*1,,,,,
7,3,0,1,000000000/123000000/000000000/000000000/000000000,0,1:thr;3:sno;2:spi;4:rep;5:fum;6:pea;7:sca;8:spl;9:puf,000000000/000000000/000000001/000000000/000000000,1,dan*1,,,,,
